Iteration;Score;Temperature
10;5723;598736.9392383788
20;5867;358485.9224085419
30;5981;214638.76394293725
40;6046;128512.15656510308
50;6110;76944.9752767131
60;6169;46069.79898695192
70;6194;27583.690436774952
80;6270;16515.374385013565
90;6355;9888.364709658943
100;6375;5920.529220333994
110;6443;3544.8395440541613
120;6523;2122.4263786981583
130;6556;1270.775073740531
140;6609;760.8599781118304
150;6642;455.5549744836572
160;6665;272.7575910771626
170;6686;163.3100452355736
180;6696;97.7797566312285
190;6701;58.5443522048553
200;6728;35.05266624882868
210;6769;20.987326101968105
220;6806;12.565887393090113
230;6846;7.523660956552903
240;6861;4.504693732993777
250;6872;2.697126537899
260;6875;1.6148692880402518
270;6877;0.96688189479128
280;6889;0.5789079062923349
290;6916;0.3466135479143707
300;6936;0.2075303347768054
310;6960;0.12425607744338052
320;6970;0.07439670349021658
330;6993;0.04454405453715748
340;7008;0.026670170874845075
350;7012;0.01596841647856929
360;7022;0.009560880806862267
370;7047;0.005724452510723674
380;7050;0.0034274411750861438
390;7053;0.00205213563859067
400;7054;0.0012286894111517733
410;7062;0.0007356617373076184
420;7067;0.0004404678569103516
430;7075;0.00026372437647939205
440;7076;0.000157901525975821
450;7078;9.45414763638324e-05
460;7079;5.6605474189158525e-05
470;7084;3.3891788360153815e-05
480;7102;2.02922656280734e-05
490;7103;1.2149729012364818e-05
500;7107;7.274491561439041e-06
510;7120;4.3555068120114246e-06
520;7137;2.607802817455628e-06
530;7143;1.561387877060603e-06
540;7150;9.348605984751756e-07
550;7156;5.597355733455855e-07
560;7177;3.3513436396777486e-07
570;7181;2.0065732331566628e-07
580;7189;1.2014095159778784e-07
590;7196;7.193282563684567e-08
600;7199;4.306883985257295e-08
610;7204;2.578690534987743e-08
620;7213;1.5439572781615382e-08
630;7228;9.244242550412572e-09
640;7229;5.534869490211207e-09
650;7241;3.313930817652943e-09
660;7250;1.9841727946092605e-09
670;7251;1.1879975459644086e-09
680;7252;7.112980144934352e-10
690;7253;4.258803960841353e-10
700;7254;2.5499032483304354e-10
710;7254;1.5267212662593644e-10
720;7258;9.141044180302734e-11
730;7264;5.4730808139572527e-11
740;7266;3.276935654753059e-11
750;7266;1.9620224240079582e-11
760;7284;1.1747353008675892e-11
770;7297;7.033574184567361e-12
780;7303;4.211260679173936e-12
790;7308;2.521437329383539e-12
800;7311;1.5096776690764915e-12
810;7329;9.038997868193884e-13
820;7336;5.411981917384635e-13
830;7337;3.2403534884283273e-13
840;7353;1.9401193297119794e-13
850;7357;1.1616211092289654e-13
860;7388;6.955054674944411e-14
870;7392;4.164248148311793e-14
880;7394;2.493289190549289e-14
890;7400;1.4928243385856156e-14
900;7402;8.938090753053083e-15
910;7409;5.3515651001178586e-15
920;7415;3.2041797081794936e-15
930;7426;1.9184607512451115e-15
940;7445;1.1486533182494583e-15
950;7451;6.877411720146879e-16
960;7453;4.1177604432028947e-16
970;7461;2.4654552842801705e-16
980;7463;1.476159150738996e-16
990;7465;8.838310117421905e-17
1000;7465;5.291822747744787e-17
