Iteration;Score;Temperature
100;5430;366032.341273229
200;5548;133979.67485796165
300;5632;49040.894071285715
400;5813;17950.55327504513
500;5850;6570.483042414602
600;5990;2405.009291311067
700;6043;880.3111816824596
800;6096;322.22236288023373
900;6128;117.94380589564392
1000;6181;43.171247410657855
1100;6217;15.802072765408944
1200;6244;5.784069691292566
1300;6245;2.117156571191341
1400;6313;0.7749477765951689
1500;6319;0.28365594903161306
1600;6343;0.10382725114012109
1700;6383;0.03800413182278209
1800;6422;0.013910741349149353
1900;6422;0.005091781224875457
2000;6440;0.0018637566029922345
2100;6467;0.0006821951929566883
2200;6484;0.0002497055036832787
2300;6489;9.140029014200138e-05
2400;6515;3.345546219372922e-05
2500;6533;1.2245781155148714e-05
2600;6544;4.4823519469386705e-06
2700;6547;1.640685777548578e-06
2800;6547;6.005440564497941e-07
2900;6571;2.1981854702004034e-07
3000;6602;8.046069742102472e-08
3100;6642;2.9451217457494565e-08
3200;6653;1.0780098079313738e-08
3300;6653;3.945864539126247e-09
3400;6658;1.4443140356033915e-09
3500;6679;5.286656479856956e-10
3600;6684;1.9350872488293292e-10
3700;6703;7.083045162569713e-11
3800;6708;2.5926236041994127e-11
3900;6714;9.489840878853489e-12
4000;6735;3.4735886751971424e-12
4100;6747;1.2714457954025843e-12
4200;6760;4.653902812932113e-13
4300;6761;1.7034789426756093e-13
4400;6763;6.235283856971979e-14
4500;6770;2.2823155486706233e-14
4600;6789;8.35401303804203e-15
4700;6803;3.0578389513416073e-15
4800;6816;1.119267950596045e-15
4900;6816;4.0968826846876e-16
5000;6821;1.499591560997955e-16
5100;6821;5.4889901002565786e-17
5200;6825;2.0091478976224913e-17
5300;6846;7.354131089309466e-18
5400;6849;2.6918498206501883e-18
5500;6859;9.85304092208511e-19
5600;6859;3.6065316373717504e-19
5700;6864;1.3201072191031545e-19
5800;6868;4.832019361400191e-20
5900;6874;1.7686753599308852e-20
6000;6875;6.473923829477733e-21
6100;6878;2.3696654965282844e-21
6200;6890;8.67374209728637e-22
6300;6890;3.174870127469897e-22
6400;6890;1.1621051459962423e-22
6500;6903;4.253680673946722e-23
6600;6903;1.556984696113406e-23
6700;6905;5.699067536449771e-24
6800;6905;2.086043033440965e-24
6900;6908;7.635592155271047e-25
7000;6909;2.7948736736013638e-25
7100;6909;1.0230141543112176e-25
7200;6909;3.744562660581876e-26
7300;6909;1.3706310376970973e-26
7400;6942;5.01695287750024e-27
7500;6943;1.8363670078088764e-27
7600;6958;6.721697153051971e-28
7700;6958;2.460358546261213e-28
7800;6958;9.005707990595901e-29
7900;6964;3.2963803806208447e-29
8000;6964;1.2065818284457866e-29
8100;6975;4.416479716037446e-30
8200;6978;1.6165744106469123e-30
8300;6978;5.917185163714797e-31
8400;6983;2.165881139221744e-31
8500;6983;7.92782544308863e-32
8600;7003;2.9018405081392065e-32
8700;7005;1.0621674751956906e-32
8800;7015;3.8878764777015315e-33
8900;7017;1.4230885297142073e-33
9000;7019;5.208964263703685e-34
9100;7020;1.9066493850520423e-34
9200;7020;6.978953383977614e-35
9300;7030;2.554522646774052e-35
9400;7032;9.350379052341927e-36
9500;7032;3.422541136320872e-36
9600;7036;1.2527607452314683e-36
9700;7036;4.585509486322697e-37
9800;7036;1.6784447732092998e-37
9900;7036;6.143650700356144e-38
10000;7037;2.2487748498162716e-38
10100;7038;8.231243232746048e-39
10200;7044;3.01290123207146e-39
10300;7052;1.102819292000113e-39
10400;7058;4.036675274520861e-40
10500;7058;1.4775537016926265e-40
10600;7060;5.408324407874782e-41
10700;7060;1.9796216453795564e-41
10800;7063;7.246055456934414e-42
10900;7063;2.65229064389736e-42
11000;7067;9.708241541228312e-43
11100;7073;3.553530380981823e-43
11200;7074;1.3007070451363274e-43
11300;7075;4.761008450418333e-44
11400;7076;1.74268306992825e-44
11500;7076;6.378783641830561e-45
11600;7079;2.334841110894617e-45
11700;7082;8.546273583217435e-46
11800;7082;3.1282125288266296e-46
11900;7082;1.14502695592666e-46
12000;7083;4.191168974987941e-47
12100;7083;1.5341033925865548e-47
12200;7083;5.615314565436604e-48
12300;7083;2.0553867373724243e-48
12400;7083;7.52338019702373e-49
12500;7105;2.7538004678052455e-49
12600;7120;1.0079800326300677e-49
12700;7128;3.6895329130024985e-50
12800;7132;1.3504883703509417e-50
12900;7132;4.9432242006182367e-51
13000;7133;1.8093799275907796e-51
13100;7133;6.622915711488388e-52
13200;7133;2.4242013439313492e-52
13300;7133;8.873360936369007e-53
13400;7133;3.2479370785015607e-53
13500;7136;1.1888500131520582e-53
13600;7141;4.3515755373675713e-54
13700;7143;1.592817382169963e-54
13800;7144;5.830226756163674e-55
13900;7145;2.1340515497124148e-55
14000;7145;7.811318851389984e-56
14100;7161;2.85919532760599e-56
14200;7161;1.0465579599210978e-56
14300;7166;3.830740603480539e-57
14400;7166;1.4021749519024036e-57
14500;7166;5.132413805195142e-58
14600;7167;1.878629441498623e-58
14700;7168;6.8763913285655995e-59
14800;7169;2.5169816175057973e-59
14900;7169;9.212966743973256e-60
15000;7176;3.3722437873689303e-60
15100;7176;1.2343502888347509e-60
15200;7176;4.5181212617347046e-61
15300;7176;1.65377850358911e-61
15400;7176;6.053364176160593e-62
15500;7176;2.2157270619795553e-62
15600;7176;8.110277641188303e-63
15700;7176;2.968623913380077e-63
15800;7176;1.0866123613742041e-63
15900;7179;3.977352666902321e-64
16000;7179;1.4558397087355796e-64
16100;7179;5.328844171070202e-65
16200;7181;1.950529308217027e-65
16300;7181;7.139568094087302e-66
16400;7181;2.613312825158421e-66
16500;7199;9.565570118720934e-67
16600;7199;3.5013080261686666e-67
16700;7199;1.2815919743372654e-67
16800;7199;4.691041109236497e-68
16900;7200;1.717072760222802e-68
17000;7201;6.28504162560838e-69
17100;7201;2.3005285012211378e-69
17200;7201;8.420678334677663e-70
17300;7201;3.082240605950823e-70
17400;7201;1.1281997453635966e-70
17500;7201;4.129575942192984e-71
17600;7213;1.5115583505865006e-71
17700;7219;5.532792420362773e-72
17800;7219;2.0251809634041614e-72
17900;7219;7.412817295367994e-73
18000;7224;2.7133308700542306e-73
18100;7224;9.931668510148774e-74
18200;7225;3.635311877519359e-74
18300;7225;1.3306417177867907e-74
18400;7225;4.870579033573305e-75
18500;7225;1.7827894470151399e-75
18600;7225;6.525585952881573e-76
18700;7226;2.3885755045129388e-76
18800;7226;8.74295884224756e-77
18900;7226;3.2002056946833574e-77
19000;7227;1.1713787829808702e-77
19100;7227;4.2876251845227393e-78
19200;7227;1.5694094847929195e-78
19300;7227;5.744546281351644e-79
19400;7232;2.1026897249155654e-79
19500;7237;7.696524429820064e-80
19600;7240;2.8171768567136445e-80
19700;7240;1.0311778406436514e-80
19800;7240;3.7744443927986895e-81
19900;7247;1.3815687181017154e-81
20000;7248;5.056988325166246e-82
20100;7248;1.8510212764519868e-82
20200;7248;6.775336515662817e-83
20300;7253;2.4799922877420645e-83
20400;7262;9.077573834217797e-84
20500;7263;3.322685603619347e-84
20600;7263;1.2162103908076428e-84
20700;7265;4.451723368281504e-85
20800;7266;1.6294747271928255e-85
20900;7267;5.9644044943994625e-86
21000;7267;2.183164941385607e-86
21100;7278;7.991089748810061e-87
21200;7279;2.9249972900814468e-87
21300;7279;1.0706436063063617e-87
21400;7281;3.918901858855309e-88
21500;7284;1.4344448226168183e-88
21600;7284;5.2505319684969564e-89
21700;7284;1.921864509358877e-89
21800;7290;7.0346456597055585e-90
21900;7290;2.574907820849585e-90
22000;7290;9.424995382283222e-91
22100;7297;3.449853126266502e-91
22200;7297;1.2627578168560972e-91
22300;7297;4.622102001649086e-92
22400;7299;1.691838817267294e-92
22500;7299;6.192677233412786e-93
22600;7305;2.266720146495507e-93
22700;7308;8.296928822329479e-94
22800;7310;3.0369442822145945e-94
22900;7313;1.111619825935354e-94
23000;7313;4.068888074928573e-95
23100;7313;1.4893446284448283e-95
23200;7313;5.4514830131236775e-96
23300;7325;1.995419090704898e-96
23400;7326;7.303879215920119e-97
23500;7327;2.6734560097801194e-97
23600;7328;9.785713625508025e-98
23700;7328;3.581887669374043e-98
23800;7329;1.3110867297986918e-98
23900;7337;4.799001453204767e-99
24000;7337;1.756589737690169e-99
24100;7338;6.429686543432603e-100
24200;7338;2.3534732191456124e-100
24300;7340;8.614473125277125e-101
24400;7340;3.1531757668804994e-101
24500;7340;1.1541643083972781e-101
24600;7340;4.22461464016653e-102
24700;7340;1.546345587717315e-102
24800;7342;5.660124958896964e-103
24900;7342;2.0717887906040952e-103
25000;7346;7.583417016484493e-104
25100;7347;2.7757758853950665e-104
25200;7349;1.0160237461809263e-104
25300;7350;3.7189755060380176e-105
25400;7350;1.3612653116128872e-105
25500;7350;4.982671291036972e-106
25600;7350;1.8238188384531662e-106
25700;7350;6.675766794972333e-107
25800;7350;2.4435465497578047e-107
25900;7352;8.944170646179702e-108
26000;7352;3.2738557223684457e-108
26100;7352;1.1983370750492813e-108
26200;7352;4.386301252148021e-109
26300;7352;1.6055281168534364e-109
26400;7352;5.876752155918618e-110
26500;7352;2.1510813507133906e-110
26600;7352;7.873653430708029e-111
26700;7352;2.8820117996160514e-111
26800;7355;1.054909526590536e-111
26900;7355;3.861310038493678e-112
27000;7355;1.4133643537716637e-112
27100;7355;5.1733706348316673e-113
27200;7355;1.8936209657416075e-113
27300;7356;6.931265155744739e-114
27400;7356;2.537067212942801e-114
27500;7356;9.286486519209996e-115
27600;7356;3.399154402828716e-115
27700;7363;1.2442004444165998e-115
27800;7363;4.5541760168300047e-116
27900;7364;1.6669757100106767e-116
28000;7364;6.101670219808113e-117
28100;7364;2.2334086362335023e-117
28200;7364;8.174997921403989e-118
28300;7365;2.992313629075284e-118
28400;7365;1.0952835634742194e-118
28500;7365;4.0090920709655414e-119
28600;7366;1.4674573571154567e-119
28700;7368;5.371368521435961e-120
28800;7368;1.966094595742528e-120
28900;7368;7.196542080442805e-121
29000;7368;2.6341671467757954e-121
29100;7368;9.641903680393665e-122
29200;7369;3.5292485784654596e-122
29300;7369;1.2918191201109287e-122
29400;7369;4.728475770357263e-123
29500;7369;1.730775056877606e-123
29600;7376;6.335196462862167e-124
29700;7376;2.318886793727319e-124
29800;7376;8.487875622555817e-125
29900;7376;3.106836986560074e-125
30000;7376;1.1372028161448474e-125
