Iteration;Score;Temperature
10;5719;904382.0750088043
20;5826;817906.9375972308
30;6055;739700.3733882803
40;6137;668971.7585696802
50;6241;605006.0671375361
60;6289;547156.642390761
70;6330;494838.65960020677
80;6375;447523.2137638104
90;6419;404731.97267832357
100;6464;366032.341273229
110;6509;331033.08832101367
120;6527;299380.3913123313
130;6567;270754.259511994
140;6578;244865.29903492949
150;6618;221451.7872388609
160;6639;200277.02685748928
170;6676;181126.9531259702
180;6691;163807.9697080874
190;6732;148144.9915475794
200;6746;133979.67485796165
210;6771;121168.81635704829
220;6773;109582.9055633481
230;6854;99104.8155188746
240;6883;89628.61870232457
250;6921;81058.51616218123
260;6935;73307.86904388816
270;6955;66298.32272038529
280;6983;59959.01467146541
290;6987;54225.85810406324
300;7074;49040.894071285715
310;7088;44351.70554047636
320;7089;40110.887486875494
330;7097;36275.56765582516
340;7104;32806.97314869742
350;7107;29670.038450977103
360;7119;26833.05093988568
370;7124;24267.330287830762
380;7124;21946.93852063239
390;7128;19848.417799380182
400;7142;17950.55327504513
410;7144;16234.158618441406
420;7148;14681.882057368104
430;7161;13278.0309600771
440;7176;12008.413191705675
450;7178;10860.193639877878
460;7181;9821.764459030177
470;7200;8882.627721705438
480;7223;8033.289290486694
490;7231;7265.162837676363
500;7240;6570.483042414602
510;7253;5942.22708770908
520;7253;5374.043663755861
530;7253;4860.188759815444
540;7262;4395.467595536359
550;7277;3975.1821046851337
560;7281;3595.0834403730073
570;7289;3251.329021634332
580;7292;2940.4436871220037
590;7292;2659.284563205937
600;7298;2405.009291311067
610;7298;2175.0472932913563
620;7311;1967.0737843491202
630;7321;1778.9862707850787
640;7324;1608.8832949847842
650;7324;1455.045212765342
660;7329;1315.9168087523474
670;7334;1190.091574038412
680;7335;1076.2974871793533
690;7336;973.3841547820256
700;7344;880.3111816824596
710;7345;796.1376531434355
720;7345;720.0126227425
730;7355;651.1665097883936
740;7364;588.9033192986684
750;7364;532.5936058869021
760;7365;481.66811042841795
770;7365;435.6120051748225
780;7367;393.9596891387521
790;7372;356.29008113312824
800;7372;322.22236288023373
810;7382;291.4121291558658
820;7386;263.5479060487155
830;7394;238.34800213656277
840;7395;215.5576607464676
850;7399;194.9464845099343
860;7402;176.3061061767661
870;7410;159.44808214086626
880;7410;144.20198738273092
890;7418;130.4136925695876
900;7423;117.94380589564392
910;7428;106.66626391033812
920;7430;96.46705708866834
930;7432;87.24307725984266
940;7441;78.90107524240997
950;7447;71.35671814815653
960;7447;64.53373682464822
970;7453;58.36315481754745
980;7453;52.78259105795366
990;7453;47.7356292253333
1000;7453;43.171247410657855
